Episode,Reward,Average Loss,Completed
Episode,Reward,Average Loss,Completed
1,1527.5519999999983,0.0,False
2,163.127,0.0,False
3,670.1159999999998,0.0,False
4,1606.3270000000045,0.0,False
5,140.35699999999997,0.0,False
6,151.59300000000002,0.0,False
7,513.2939999999998,0.0,False
8,3053.425000000025,0.0,False
9,109.378,0.0,False
10,109.378,0.0,False
11,437.0849999999988,0.0,False
12,109.378,0.0,False
13,109.378,0.0,False
14,109.378,0.0,False
15,109.378,0.0,False
16,109.378,0.0,False
17,109.378,0.0,False
18,109.378,0.0,False
19,109.378,0.0,False
20,109.378,0.0,False
21,770.067999999998,0.6663805821464082,False
