Episode,Reward
1201,149.0
1202,293.0
1203,144.0
1204,140.0
1205,152.0
1206,125.0
1207,336.0
1208,129.0
1209,408.0
1210,150.0
1211,108.0
1212,98.0
1213,112.0
1214,150.0
1215,139.0
1216,223.0
1217,144.0
1218,407.0
1219,149.0
1220,356.0
1221,149.0
1222,111.0
1223,137.0
1224,126.0
1225,149.0
1226,149.0
1227,465.0
1228,150.0
1229,151.0
1230,150.0
1231,150.0
1232,103.0
1233,114.0
1234,150.0
1235,144.0
1236,137.0
1237,339.0
1238,313.0
1239,149.0
1240,123.0
1241,149.0
1242,352.0
1243,460.0
1244,111.0
1245,144.0
1246,121.0
1247,151.0
1248,148.0
1249,310.0
1250,149.0
1251,107.0
1252,299.0
1253,151.0
1254,149.0
1255,372.0
1256,149.0
1257,133.0
1258,141.0
1259,140.0
1260,356.0
1261,150.0
1262,115.0
1263,384.0
1264,151.0
1265,144.0
1266,129.0
1267,151.0
1268,150.0
1269,149.0
1270,149.0
1271,151.0
1272,354.0
1273,153.0
1274,125.0
1275,138.0
1276,754.0
1277,150.0
1278,378.0
1279,152.0
1280,149.0
1281,394.0
1282,112.0
1283,123.0
1284,150.0
1285,150.0
1286,150.0
1287,152.0
1288,152.0
1289,124.0
1290,152.0
1291,409.0
1292,149.0
1293,149.0
1294,245.0
1295,150.0
1296,103.0
1297,151.0
1298,150.0
1299,360.0
1300,473.0
1301,149.0
1302,407.0
1303,149.0
1304,149.0
1305,104.0
1306,149.0
1307,149.0
1308,151.0
1309,737.0
1310,294.0
1311,363.0
1312,482.0
1313,151.0
1314,309.0
1315,147.0
1316,341.0
1317,308.0
1318,144.0
1319,148.0
1320,360.0
1321,371.0
1322,148.0
1323,149.0
1324,322.0
1325,149.0
1326,149.0
1327,144.0
1328,152.0
1329,98.0
1330,150.0
1331,150.0
1332,153.0
1333,151.0
1334,556.0
1335,149.0
1336,144.0
1337,284.0
1338,149.0
1339,149.0
1340,115.0
1341,365.0
1342,127.0
1343,108.0
1344,601.0
1345,397.0
1346,151.0
1347,149.0
1348,150.0
1349,151.0
1350,386.0
1351,152.0
1352,387.0
1353,111.0
1354,150.0
1355,149.0
1356,149.0
1357,314.0
1358,708.0
1359,149.0
1360,149.0
1361,381.0
1362,500.0
1363,453.0
1364,146.0
1365,273.0
1366,438.0
1367,144.0
1368,562.0
1369,481.0
1370,295.0
1371,423.0
1372,145.0
1373,150.0
1374,98.0
1375,300.0
1376,133.0
1377,127.0
1378,116.0
1379,149.0
1380,129.0
1381,149.0
1382,124.0
1383,354.0
1384,103.0
1385,151.0
1386,149.0
1387,114.0
1388,108.0
1389,319.0
1390,150.0
1391,100.0
1392,135.0
1393,150.0
1394,540.0
1395,119.0
1396,251.0
1397,137.0
1398,354.0
1399,149.0
1400,112.0
1401,133.0
1402,1179.0
1403,150.0
1404,149.0
1405,149.0
1406,264.0
1407,129.0
1408,150.0
1409,149.0
1410,150.0
1411,111.0
1412,104.0
1413,505.0
1414,151.0
1415,152.0
1416,151.0
1417,152.0
1418,154.0
1419,151.0
1420,150.0
1421,151.0
1422,151.0
1423,152.0
1424,151.0
1425,149.0
1426,139.0
1427,151.0
1428,150.0
1429,134.0
1430,318.0
1431,114.0
1432,121.0
1433,151.0
1434,152.0
1435,98.0
1436,122.0
1437,115.0
1438,150.0
1439,107.0
1440,151.0
1441,115.0
1442,149.0
1443,141.0
1444,152.0
1445,118.0
1446,150.0
1447,151.0
1448,280.0
1449,151.0
1450,151.0
1451,150.0
1452,359.0
1453,152.0
1454,151.0
1455,108.0
1456,354.0
1457,150.0
1458,323.0
1459,151.0
1460,151.0
1461,145.0
1462,151.0
1463,151.0
1464,363.0
1465,124.0
1466,389.0
1467,349.0
1468,371.0
1469,349.0
1470,150.0
1471,151.0
1472,490.0
1473,152.0
1474,152.0
1475,379.0
1476,298.0
1477,117.0
1478,151.0
1479,368.0
1480,149.0
1481,152.0
1482,388.0
1483,152.0
1484,152.0
1485,151.0
1486,456.0
1487,152.0
1488,151.0
1489,148.0
1490,152.0
1491,390.0
1492,149.0
1493,152.0
1494,151.0
1495,139.0
1496,345.0
1497,151.0
1498,149.0
1499,151.0
1500,427.0
