Episode,Reward
1,1012.5
2,2244.0
3,1331.5
4,955.5
5,1641.5
6,1095.5
7,3186.0
8,2467.0
9,341.0
10,602.0
11,1346.5
12,2295.0
13,1467.0
14,1241.5
15,1993.5
16,1816.0
17,2047.5
18,1135.0
19,1514.0
20,1733.5
21,1174.0
22,1428.0
23,2044.5
24,2155.5
25,886.0
26,1248.5
27,2880.5
28,2056.5
29,1367.0
30,1600.5
31,2218.0
32,2690.5
33,2043.0
34,1900.0
35,976.5
36,2161.0
37,1643.5
38,718.0
39,1500.0
40,2855.5
41,1972.0
42,1542.5
43,1911.5
44,981.0
45,2660.0
46,2174.0
47,2582.25
48,2232.0
49,2436.0
50,3223.0
51,1438.0
52,2068.5
53,1839.0
54,1871.0
55,2225.5
56,1992.5
57,597.0
58,1005.0
59,1801.0
60,2086.0
61,1286.5
62,1412.5
63,980.0
64,2090.5
65,1315.0
66,586.0
67,1821.5
68,1354.5
69,2341.5
70,1614.5
71,2207.5
72,1591.5
73,1991.0
74,1437.5
75,1844.0
76,2260.5
77,1034.0
78,1583.0
79,1225.0
80,2143.5
81,2298.5
82,1456.5
83,1854.5
84,1096.0
85,1592.0
86,2390.5
87,1741.0
88,2337.0
89,2388.0
90,1822.5
91,2979.0
92,1973.5
93,3218.0
94,1458.5
95,1043.5
96,2076.5
97,2037.0
98,2855.0
99,1444.0
100,1847.0
101,1599.5
102,687.0
103,1567.0
104,1452.0
105,1452.5
106,2270.5
107,1466.5
108,1969.5
109,1204.0
110,1560.5
111,2601.0
112,1609.5
113,1460.0
114,2137.0
115,1527.0
116,1120.5
117,1438.0
118,1435.5
119,657.0
120,2366.0
121,569.0
122,756.5
123,571.0
124,737.5
125,561.0
126,197.0
127,983.0
128,545.0
129,198.0
130,198.0
131,203.0
132,1248.5
133,964.0
134,553.0
135,557.5
136,199.0
137,198.0
138,199.0
139,965.5
140,199.0
141,991.5
142,588.0
143,188.0
144,983.0
145,579.5
146,203.0
147,201.0
148,198.0
149,195.0
150,771.5
151,752.5
152,591.0
153,527.0
154,582.5
155,750.5
156,560.5
157,185.0
158,199.0
159,1001.5
160,559.5
161,720.5
162,579.5
163,183.0
164,990.5
165,572.5
166,974.0
167,570.0
168,686.5
169,562.0
170,197.0
171,199.0
172,983.5
173,584.5
174,558.0
175,582.0
176,203.0
177,548.0
178,204.0
179,587.0
180,1287.5
181,681.0
182,580.0
183,996.5
184,194.0
185,772.0
186,576.5
187,195.0
188,990.5
189,207.0
190,572.0
191,196.0
192,207.0
193,184.0
194,201.0
195,189.0
196,189.0
197,583.5
198,554.0
199,573.0
200,186.0
201,590.0
202,557.0
203,1001.0
204,1002.5
205,519.0
206,202.0
207,1252.0
208,593.0
209,517.5
210,202.0
211,739.5
212,749.5
213,201.0
214,553.5
215,577.0
216,202.0
217,721.5
218,202.0
219,202.0
220,202.0
221,998.5
222,190.0
223,190.0
224,202.0
225,996.0
226,202.0
227,576.5
228,528.0
229,1178.5
230,591.5
231,568.0
232,688.0
233,575.0
234,198.0
235,200.0
236,202.0
237,586.5
238,202.0
239,202.0
240,970.0
241,573.5
242,559.5
243,550.0
244,989.5
245,749.5
246,531.0
247,768.0
248,763.5
249,686.0
250,574.5
251,854.0
252,922.5
253,573.5
254,568.0
255,569.0
256,983.5
257,1013.0
258,576.0
259,706.5
260,995.0
261,758.0
262,753.5
263,558.5
264,581.0
265,571.0
266,941.5
267,557.5
268,202.0
269,571.5
270,576.5
271,202.0
272,766.5
273,568.0
274,952.0
275,664.5
276,535.0
277,569.5
278,562.0
279,591.5
280,202.0
281,200.0
282,574.0
283,577.5
284,202.0
285,542.5
286,207.0
287,564.5
288,995.5
289,580.5
290,971.0
291,989.0
292,205.0
293,981.5
294,771.5
295,591.0
296,566.0
297,978.5
298,545.0
299,580.5
300,559.0
301,202.0
302,203.0
303,589.0
304,577.5
305,673.0
306,573.5
307,581.5
308,767.5
309,987.0
310,581.5
311,568.0
312,202.0
313,578.0
314,992.5
315,756.0
316,579.0
317,981.0
318,579.0
319,201.0
320,558.0
321,573.0
322,997.5
323,573.0
324,580.0
325,579.0
326,587.5
327,569.0
328,972.5
329,938.0
330,1537.0
331,998.0
332,1000.5
333,566.0
334,1026.5
335,207.0
336,555.5
337,601.0
338,204.0
339,574.5
340,188.0
341,200.0
342,749.5
343,669.0
344,202.0
345,553.5
346,1379.5
347,975.5
348,568.5
349,203.0
350,1524.0
351,994.0
352,207.0
353,202.0
354,559.5
355,567.0
356,708.5
357,201.0
358,207.0
359,187.0
360,207.0
361,564.5
362,769.0
363,753.0
364,206.0
365,207.0
366,207.0
367,561.0
368,201.0
369,208.0
370,580.5
371,207.0
372,195.0
