Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
1,554.0,0,-0.04315549,0.05%
2,2548.0,0,0.10241818,0.12%
3,4677.0,0,-0.028307164,0.19%
4,8700.0,0,0.12916316,0.26%
5,8330.0,0,-0.025544792,0.33%
6,8173.0,0,-0.038761687,0.40%
7,8737.0,0,-0.04100079,0.47%
8,11120.0,0,0.013647381,0.54%
9,13230.0,0,-0.018920146,0.62%
10,11092.0,0,-0.034909625,0.68%
11,9276.0,0,-0.048550837,0.75%
12,10621.0,0,-0.12340969,0.82%
13,11976.0,0,-0.017964998,0.89%
14,14128.0,0,0.11982587,0.96%
15,14076.0,0,0.3211405,1.03%
16,13418.0,0,-0.12478671,1.10%
17,14379.0,0,-0.012508656,1.17%
18,15974.0,0,0.097575575,1.24%
19,15863.0,0,-0.012148164,1.31%
20,14290.0,0,-0.09263842,1.37%
21,15297.0,0,-0.08988659,1.44%
22,15393.0,0,0.022754107,1.51%
23,16212.0,0,-0.07448617,1.58%
24,16048.0,0,-0.09223691,1.65%
25,15196.0,0,-0.035478,1.72%
26,15107.0,0,0.11216166,1.79%
27,15552.0,0,-0.010764753,1.86%
28,17332.0,0,-0.010873576,1.92%
29,15458.0,0,0.06188306,1.99%
30,15053.0,0,-0.05134573,2.06%
31,15650.0,0,-0.019486358,2.13%
32,15494.0,0,0.10309923,2.19%
33,15112.0,0,0.031202296,2.27%
34,14140.0,0,0.029936433,2.34%
35,12326.0,0,-0.009814876,2.40%
36,15867.0,1,-0.00089131,2.47%
37,17316.0,1,0.06296571,2.54%
38,15290.0,0,-0.0050079506,2.62%
39,18266.0,0,0.070117645,2.69%
40,17439.0,0,0.07752993,2.76%
41,13200.0,0,-0.12694758,2.82%
42,14468.0,0,-0.0111492155,2.90%
43,11509.0,0,-0.022980694,2.97%
44,12068.0,0,-0.07708521,3.03%
45,12165.0,0,-0.09643727,3.10%
46,12133.0,0,-0.07006803,3.17%
47,13268.0,0,-0.13543017,3.24%
48,12275.0,0,0.13684125,3.31%
49,14829.0,0,-0.0551295,3.38%
50,14384.0,0,-0.005955089,3.45%
51,11865.0,0,-0.09458595,3.52%
52,12930.0,0,-0.050798446,3.59%
53,16369.0,0,-0.028762536,3.66%
54,15305.0,0,-0.0075827427,3.73%
55,11594.0,0,-0.075288616,3.80%
56,13695.0,0,-0.0084284,3.87%
57,15598.0,0,-0.0101413,3.94%
58,13925.0,0,0.025499951,4.00%
59,9947.0,0,-0.059677903,4.07%
60,6002.0,0,0.05473718,4.13%
61,11115.0,0,-0.17109352,4.19%
62,15173.0,0,0.14325829,4.27%
63,15140.0,0,-0.050739523,4.33%
64,14741.0,0,0.04979604,4.40%
65,13678.0,0,-0.010644024,4.47%
66,17024.0,0,-0.011057791,4.54%
67,16676.0,0,0.009268429,4.61%
68,15408.0,0,-0.04229637,4.68%
69,17146.0,0,-0.020515217,4.75%
70,15785.0,0,0.16687544,4.81%
71,15059.0,0,-0.0064259563,4.88%
