Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
1,1492.0,0,-0.013110141,0.08%
2,2779.0,0,-0.036618646,0.15%
3,4457.0,0,-0.15522723,0.21%
4,6103.0,1,-0.029224094,0.28%
5,5741.0,0,-0.037255418,0.35%
6,6888.0,0,0.123943396,0.42%
7,7615.0,0,0.12513453,0.49%
8,8398.0,0,0.15026133,0.56%
9,10797.0,0,0.0020480056,0.64%
10,12160.0,0,-0.018717816,0.71%
11,9733.0,0,-0.020836258,0.78%
12,14042.0,0,0.005352445,0.85%
13,12281.0,0,0.015863301,0.92%
14,11063.0,0,-0.015028044,0.98%
15,11199.0,0,0.17591022,1.05%
16,12829.0,0,0.12608373,1.12%
17,13725.0,0,-0.0756863,1.19%
18,15741.0,0,-0.20078902,1.27%
19,14357.0,0,-0.13619523,1.34%
20,14212.0,0,-0.051474478,1.40%
21,13003.0,0,-0.020206513,1.47%
22,12531.0,0,-0.012630701,1.54%
23,12455.0,0,-0.12992541,1.61%
24,12912.0,0,-0.039251514,1.68%
25,13114.0,0,-0.014972677,1.75%
26,13224.0,0,0.11365006,1.81%
27,13251.0,0,-0.046353925,1.88%
28,13549.0,0,-0.056570634,1.95%
29,13977.0,0,-0.06985627,2.02%
30,15061.0,0,-0.15897079,2.08%
31,14410.0,0,-0.18951942,2.15%
32,13178.0,0,-0.09005352,2.22%
33,14330.0,0,-0.0137534905,2.29%
34,14071.0,0,0.043166745,2.36%
35,15892.0,0,-0.19189537,2.43%
36,12396.0,0,-0.15254213,2.49%
37,14409.0,0,-0.050339866,2.57%
38,11861.0,0,0.0095027685,2.63%
39,14219.0,0,-0.043173563,2.70%
40,14096.0,0,0.07896025,2.77%
41,12452.0,0,-0.11159759,2.84%
42,14383.0,0,-0.07031111,2.91%
43,14151.0,0,-0.013972917,2.98%
44,13469.0,1,-0.119473934,3.05%
45,12595.0,0,-0.016490972,3.12%
46,13976.0,0,0.0025400768,3.19%
47,12786.0,0,0.10424673,3.25%
48,14575.0,0,-0.025940554,3.32%
49,13826.0,0,-0.012668559,3.39%
50,13929.0,0,0.055716384,3.46%
51,13617.0,0,0.039673276,3.53%
52,15115.0,0,-0.011447553,3.60%
53,14995.0,0,-0.11889372,3.67%
54,15792.0,0,-0.09608566,3.73%
55,13526.0,0,0.014492181,3.80%
56,12424.0,0,0.07978904,3.87%
57,16338.0,0,-0.08325984,3.94%
58,12091.0,0,0.057707477,4.01%
59,14922.0,0,0.07374461,4.08%
60,15920.0,0,-0.056106925,4.15%
61,14540.0,0,-0.013415366,4.22%
62,14844.0,0,-0.01355895,4.29%
63,14920.0,0,-0.14619373,4.35%
64,13768.0,0,0.039479822,4.42%
65,14650.0,0,-0.1235066,4.49%
66,14215.0,0,-0.095072,4.56%
67,15073.0,0,-0.07502761,4.63%
68,14906.0,0,-0.022657726,4.70%
69,14114.0,0,0.004225423,4.76%
70,13938.0,0,-0.014627211,4.83%
71,11126.0,0,-0.12422658,4.91%
72,13549.0,0,-0.14521319,4.98%
73,15331.0,0,-0.035306774,5.05%
74,14643.0,0,-0.05956463,5.11%
75,13655.0,0,-0.017960008,5.18%
76,14036.0,0,0.032892104,5.25%
77,14252.0,0,-0.016643437,5.32%
78,15854.0,0,-0.12250792,5.39%
79,13714.0,0,-0.011024386,5.46%
80,15946.0,0,0.3517516,5.53%
81,15765.0,0,-0.018283261,5.60%
82,14670.0,0,-0.014765118,5.67%
83,17189.0,0,-0.03920473,5.74%
84,16360.0,0,-0.09464299,5.80%
85,15255.0,0,0.04328177,5.87%
86,16987.0,0,0.031257953,5.95%
87,15625.0,0,0.11418859,6.01%
88,15825.0,0,0.26145515,6.08%
89,13180.0,0,-0.08705955,6.15%
90,14331.0,0,-0.014687356,6.22%
