Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
1,1209.0,0,0.00506159,0.05%
2,921.0,0,-0.0001943367,0.11%
3,921.0,0,-4.8602747e-06,0.16%
4,921.0,0,-0.0006862984,0.21%
5,3906.0,0,0.012565226,0.27%
6,2073.0,0,0.0028047957,0.33%
7,7430.0,0,0.11818624,0.39%
8,7437.0,0,-0.0294963,0.45%
9,18442.0,0,-0.019347597,0.52%
10,17310.0,0,0.09479881,0.58%
11,921.0,0,-0.00044320658,0.64%
12,921.0,0,-3.4071207e-05,0.69%
13,921.0,0,-1.8346607e-05,0.74%
14,921.0,0,-0.0015871738,0.80%
15,921.0,0,-0.0016059831,0.85%
