Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
1,1497.0,0,0.0038838428,0.05%
2,2073.0,0,-0.0007919759,0.11%
3,2073.0,0,-0.00043437467,0.16%
4,2073.0,0,-0.0015038357,0.21%
5,2313.0,0,-0.0012664847,0.27%
6,2073.0,0,0.0017714945,0.32%
7,921.0,0,-0.00028122618,0.37%
8,921.0,0,-3.670033e-05,0.43%
9,921.0,0,-2.2163988e-06,0.48%
10,921.0,0,-1.0551512e-06,0.53%
11,921.0,0,-2.520673e-05,0.59%
12,921.0,0,-0.0010817766,0.64%
13,921.0,0,-0.000114575996,0.69%
14,921.0,0,-1.5294552e-05,0.75%
15,921.0,0,-7.2214755e-07,0.80%
16,921.0,0,-3.2275915e-07,0.85%
17,921.0,0,-1.6964972e-07,0.91%
18,921.0,0,-1.3045967e-07,0.96%
19,921.0,0,-7.4766575e-08,1.01%
20,921.0,0,-1.1920929e-07,1.07%
21,921.0,0,-7.826835e-08,1.12%
22,921.0,0,-5.967915e-08,1.17%
23,921.0,0,-1.8775463e-08,1.23%
24,921.0,0,-3.6358834e-08,1.28%
25,921.0,0,-5.9455633e-08,1.33%
26,921.0,0,3.8184225e-09,1.39%
27,921.0,0,-1.1231751e-08,1.44%
28,921.0,0,-7.815659e-08,1.49%
29,921.0,0,-2.5339423e-07,1.55%
30,921.0,0,-5.4062904e-05,1.60%
31,921.0,0,7.2211026e-07,1.65%
32,921.0,0,-5.591661e-08,1.71%
33,921.0,0,-2.9951334e-08,1.76%
34,921.0,0,-6.46431e-08,1.81%
35,921.0,0,-4.403293e-08,1.87%
36,921.0,0,-1.18166206e-07,1.92%
37,921.0,0,-2.9057265e-08,1.97%
38,921.0,0,-5.7592988e-08,2.03%
39,921.0,0,-3.054738e-07,2.08%
40,921.0,0,-8.003324e-05,2.13%
41,18600.0,0,0.0030025467,2.20%
42,18900.0,0,-1.9222497e-08,2.27%
43,18900.0,0,-3.233552e-08,2.34%
44,18900.0,0,-8.195639e-09,2.40%
45,18900.0,0,-5.8114527e-09,2.47%
46,18900.0,0,5.066395e-09,2.54%
47,18900.0,0,5.2005053e-08,2.61%
48,18900.0,0,5.306676e-08,2.67%
49,18900.0,0,-3.4128316e-08,2.74%
50,18900.0,0,-3.4868716e-08,2.81%
51,18900.0,0,9.834767e-09,2.88%
52,18900.0,0,-5.8412553e-08,2.94%
53,18900.0,0,-3.069639e-08,3.01%
54,18900.0,0,-4.0382147e-08,3.08%
55,18900.0,0,-2.918765e-08,3.15%
56,18900.0,0,-1.269579e-07,3.21%
57,18900.0,0,-2.4437904e-08,3.28%
58,18900.0,0,3.0808152e-08,3.35%
59,18900.0,0,2.8312206e-08,3.42%
60,18900.0,0,1.66893e-08,3.48%
61,18900.0,0,1.9073486e-08,3.55%
62,18900.0,0,-4.7683715e-09,3.62%
63,18900.0,0,1.1026859e-08,3.69%
64,18900.0,0,1.654029e-08,3.75%
65,18900.0,0,2.592802e-08,3.82%
66,18900.0,0,-2.5331975e-08,3.89%
67,18900.0,0,-1.0430813e-09,3.96%
68,18900.0,0,8.046627e-08,4.02%
69,18900.0,0,-2.5331975e-08,4.09%
70,18900.0,0,-1.38022e-08,4.16%
71,18900.0,0,1.9669534e-08,4.23%
72,18900.0,0,-1.1026859e-08,4.29%
73,18900.0,0,-1.23679635e-08,4.36%
74,18900.0,0,1.4211983e-08,4.43%
75,18900.0,0,-2.5806948e-08,4.50%
76,18900.0,0,2.2500753e-08,4.56%
77,18900.0,0,-6.839633e-08,4.63%
78,18900.0,0,1.2516975e-08,4.70%
79,18900.0,0,-7.152557e-09,4.77%
80,18900.0,0,-8.717179e-08,4.83%
81,18900.0,0,2.6226044e-08,4.90%
82,18900.0,0,8.136034e-08,4.97%
83,18900.0,0,1.0281801e-08,5.04%
84,18900.0,0,-5.9604646e-09,5.10%
85,18900.0,0,1.9669534e-08,5.17%
86,18900.0,0,1.9147992e-08,5.24%
87,18900.0,0,-4.1201712e-08,5.31%
88,18900.0,0,-4.2244793e-08,5.37%
89,18900.0,0,-6.347895e-08,5.44%
90,18900.0,0,-3.904104e-08,5.51%
